"Name","Adresse","year","Land","Kreis","Gemeinde","Traeger","EinrichtungsTyp","Ungefähre_Adresse.x","coordinates","latitude","longitude"
"nordBLICK Augenklinik Bellevue GmbH, nordBLICK Augenklinik Bellevue GmbH","Lindenallee, 21-23, 24105, Kiel",2022,"01","002","000","3","2",NA,NA,54.3456265,10.1492353
"Park-Klinik GmbH Kiel, Park-Klinik GmbH Kiel","Goethestraße, 11, 24116, Kiel",2022,"01","002","000","3","2",NA,NA,54.3266908,10.125726447159
"Psychiatrische Tagesklinik Kieler Fenster, Psychiatrische Tagesklinik Kieler Fenster","Alte Lübecker Chaussee, 1, 24114, Kiel",2022,"01","002","000","2","4",NA,NA,54.30851005,10.1263000231187
"Schmerzklinik Kiel GmbH & Co. KG, Schmerzklinik Kiel GmbH & Co. KG","Heikendorfer Weg, 9-27, 24149, Kiel",2022,"01","002","000","3","2",NA,NA,54.32889415,10.1838106936938
"Städtisches Krankenhaus Kiel GmbH, Städtisches Krankenhaus Kiel GmbH","Chemnitzstraße, 33, 24116, Kiel",2022,"01","002","000","1","2",NA,NA,54.3228203,10.1163370634907
"Universitätsklinikum Schleswig-Holstein, Universitätsklinikum Schleswig-Holstein Campus Kiel","Arnold-Heller-Straße, 3, 24105, Kiel",2022,"01","002","000","1","1",NA,NA,54.3292804,10.1406004
"Zentrum für Integrative Psychiatrie ZIP gGmbH- Campus Kiel, Zentrum für Integrative Psychiatrie Kiel - Niemannsweg Klaus-Groth-Platz","Niemannsweg, 147, 24105, Kiel",2022,"01","002","000","1","2",NA,NA,54.3432302,10.1450510530265
"Zentrum für Integrative Psychiatrie ZIP gGmbH- Campus Kiel, Zentrum für Integrative Psychiatrie Kiel - Ostufer","Karlstal, 34a, 24143, Kiel",2022,"01","002","000","1","2",NA,NA,54.3108076,10.1440022
"AMEOS Klinika Neustadt, Lübeck und Eutin, AMEOS Klinikum Lübeck","Kahlhorststraße, 33, 23562, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8500071,10.691318853313
"AMEOS Klinika Neustadt, Lübeck und Eutin, AMEOS Tagesklinik Lübeck","Krempelsdorfer Allee, 65, 23556, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8846231,10.653479532702
"AMEOS Klinika Neustadt, Lübeck und Eutin, Psychiatrische Institutsambulanz","Krempelsdorfer Allee, 65, 23556, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8846231,10.653479532702
"AMEOS Klinikum Lübeck, AMEOS Klinikum Lübeck","Weidenweg, 9, 23562, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8485616,10.6901916097782
"Augenklinik am Klingenberg, Augenklinik am Klingenberg","Marlesgrube, 1, 23552, Lübeck",2022,"01","003","000","3","4",NA,NA,53.86414765,10.6847650419559
"Hanse-Klinik GmbH, Hanse-Klinik GmbH","St.-Jürgen Ring, 66, 23564, Lübeck",2022,"01","003","000","3","4",NA,NA,53.85123995,10.6949486249391
"Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie, Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie","Untertrave, NA, 23552, Lübeck",2022,"01","003","000","3","4",NA,NA,53.8698068,10.6800254
"Katholisches Marien-Krankenhaus Lübeck gGmbH, Katholisches Marien-Krankenhaus Lübeck gGmbH","Parade, 3, 23552, Lübeck",2022,"01","003","000","2","2",NA,NA,53.86203225,10.6852475571023
"Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-, Krankenhaus Rotes Kreuz Lübeck - Haus an der Wakenitz","Marlistraße, 10, 23566, Lübeck",2022,"01","003","000","3","2",NA,NA,53.873042,10.7086068
"Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-, Krankenhaus Rotes Kreuz Lübeck - Haus am Stadtpark","Rabenhorst, 1, 23568, Lübeck",2022,"01","003","000","3","2",NA,NA,53.87556855,10.7054807631097
"Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-, Krankenhaus Rotes Kreuz Lübeck - EGH II","Erika-Gerstung-Straße, 1, 23568, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8759232,10.707798
"Sana Kliniken Lübeck GmbH, Sana Klinik Lübeck Süd","Kronsforder Allee, 71-73, 23560, Lübeck",2022,"01","003","000","3","2",NA,NA,53.8489421,10.686887
"Sana Kliniken Lübeck GmbH, Sana Praxisklinik Travemünde","Am Dreilingsberg, 7, 23570, Lübeck",2022,"01","003","000","3","2",NA,NA,53.96236525,10.8572882071314
"Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE, Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE Lübeck und Ostholstein gGmbH","Spillerstraße, 2a-b, 23564, Lübeck",2022,"01","003","000","2","2",NA,NA,53.8610985,10.6962132
"Universitätsklinikum Schleswig-Holstein, Universitätsklinikum Schleswig-Holstein Campus Lübeck","Ratzeburger Allee, 160, 23562, Lübeck",2022,"01","003","000","1","1",NA,NA,53.8338371,10.7035939
"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik, Fachklinik für Kinder- und Jugendpsychiatrie","Triftstraße, 139, 23554, Lübeck",2022,"01","003","000","2","2",NA,NA,53.8937633,10.6801113
"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik, Institutsambulanz Lübeck","Fünfhausen, 1, 23552, Lübeck",2022,"01","003","000","2","2",NA,NA,53.86924455,10.6847743100981
"Zentrum für Integrative Psychiatrie ZIP gGmbH- Campus Lübeck, Zentrum für Integrative Psychiatrie ZIP gGmbH - Lübeck","Ratzeburger Allee, 160, 23554, Lübeck",2022,"01","003","000","1","2",NA,NA,53.838645,10.7045237
"CCSH MVZ GmbH, CCSH MVZ GmbH","Altonaer Straße, 34, 24534, Neumünster",2022,"01","004","000","3","4",NA,NA,54.0678458,9.9884954
"DRK-Fachklinik Hahnknüll gGmbH, DRK-Fachklinik Hahnknüll gGmbH","Hahnknüll, 58, 24537, Neumünster",2022,"01","004","000","2","2",NA,NA,54.0988053,9.9468383
"FEK- Friedrich-Ebert-Krankenhaus Neumünster GmbH, FEK- Friedrich-Ebert-Krankenhaus Neumünster GmbH","Friesenstraße, 11, 24534, Neumünster",2022,"01","004","000","1","2",NA,NA,54.06526655,9.99298980040623
"Klinik Klosterstraße GmbH, Klinik Klosterstraße GmbH","Klosterstraße, 63-65, 24536, Neumünster",2022,"01","004","000","3","2",NA,NA,54.0787453,9.9948417
"Psychiatrische Tagesklinik Neumünster gGmbH, Psychiatrische Tagesklinik Neumünster gGmbH","Parkstraße, 17, 24534, Neumünster",2022,"01","004","000","2","2",NA,NA,54.0754737,9.987023
"Westküstenkliniken Brunsbüttel und Heide gGmbH, Standort Brunsbüttel","Delbrückstraße, 2, 25541, Brunsbüttel",2022,"01","051","011","1","2",NA,NA,53.8999702,9.14625576084319
"Psychiatrische Tagesklinik Heide, Psychiatrische Tagesklinik Heide","Neue Anlage, 18, 25746, Heide",2022,"01","051","044","2","3",NA,NA,54.19227425,9.09390738815868
"Universitätsklinikum Schleswig-Holstein, UKSH Kooperation am WWK Heide","Esmarchstraße, 50, 25746, Heide",2022,"01","051","044","1","1",NA,NA,54.20029455,9.08200933434243
"Westküstenkliniken Brunsbüttel und Heide gGmbH, Standort Heide","Esmarchstraße, 50, 25746, Heide",2022,"01","051","044","1","2",NA,NA,54.20029455,9.08200933434243
"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik, Tagesklinik am Rosenweg","Lauenburger Straße, 39, 21514, Büchen",2022,"01","053","020","2","2",NA,NA,53.47251875,10.6228899399958
"Johanniter- Klinik für Geriatrie Geesthacht, Johanniter-Klinik für Geriatrie Geesthacht","Johannes-Ritter-Straße, 100, 21502, Geesthacht",2022,"01","053","032","2","2",NA,NA,53.4230122,10.3865191450163
"Johanniter-Krankenhaus Geesthacht, Johanniter-Krankenhaus Geesthacht","Am Runden Berge, 3, 21502, Geesthacht",2022,"01","053","032","3","2",NA,NA,53.43156995,10.3858057074041
"VAMED Klinik Geesthacht, VAMED Klinik Geesthacht","Johannes-Ritter-Straße, 100, 21502, Geesthacht",2022,"01","053","032","3","2",NA,NA,53.4230122,10.3865191450163
"Johanniter-Krankenhaus Geesthacht, Psychiatrische Institutsambulanz","Grünstraße, 13, 21481, Lauenburg",2022,"01","053","083","3","2",NA,NA,53.372784,10.5519263
"Johanniter-Krankenhaus Geesthacht, Tagesklinik Mölln","Wasserkrüger Weg, 7, 23879, Mölln",2022,"01","053","090","3","2",NA,NA,53.62583755,10.6860945899586
"DRK-Krankenhaus Mölln-Ratzeburg, DRK-Krankenhaus Mölln-Ratzeburg","Röpersberg, 2, 23909, Ratzeburg",2022,"01","053","100","2","2",NA,NA,53.69006115,10.7791545197873
"Klinik für Geriatrie Ratzeburg, Klinik für Geriatrie Ratzeburg","Röpersberg, 47, 23909, Ratzeburg",2022,"01","053","100","3","2",NA,NA,53.6825424,10.7681318537821
"Johanniter-Krankenhaus Geesthacht, Tagesklinik Schwarzenbek","Körnerplatz, 6, 21493, Schwarzenbek",2022,"01","053","116","3","2",NA,NA,53.50575205,10.4786606904694
"DIAKO Nordfriesland gGmbH- Fachklinik für Psychiatrie und Psychosomatik, DIAKO Fachklinik für Psychiatrie und Psychosomatik","Gammeltoft, 8-15, 25821, Breklum",2022,"01","054","020","2","2",NA,NA,54.61718215,8.98488661164034
"DIAKO Nordfriesland gGmbH- Fachklinik für Psychiatrie und Psychosomatik, DIAKO Tagesklinik Breklum","Gammeltoft, 8, 25821, Breklum",2022,"01","054","020","2","2",NA,NA,54.61718215,8.98488661164034
"DIAKO Nordfriesland gGmbH- Fachklinik für Psychiatrie und Psychosomatik, DIAKO Tagesklinik Husum","Theodor-Schäfer-Straße, 1b, 25813, Husum",2022,"01","054","056","2","2",NA,NA,54.4867074,9.0487163
"Helios Fachklinik Schleswig GmbH, Tagesklinik Kinder und Jugend Psychiatrie Husum","Theodor-Schäfer-Straße, 1a, 25813, Husum",2022,"01","054","056","3","2",NA,NA,54.4867074,9.0487163
"Klinik Dr. Winkler, Klinik Dr. Winkler","Brinckmannstraße, 6, 25813, Husum",2022,"01","054","056","3","2",NA,NA,54.48005585,9.05584614735384
"Klinikum Nordfriesland gGmbH- Klinik Husum und Klinik Niebüll, Klinikum Nordfriesland gGmbH - Klinik Husum","Erichsenweg, 16, 25813, Husum",2022,"01","054","056","1","2",NA,NA,54.4833008,9.05020024308603
"Privatklinik List auf Sylt, Privatklinik List auf Sylt","Am Lamserhof, 1, 25992, List auf Sylt",2022,"01","054","078","3","4",NA,NA,55.0138001754631,8.42356205767001
"DIAKO Nordfriesland gGmbH- Fachklinik für Psychiatrie und Psychosomatik, DIAKO Tagesklinik Niebüll","Bahnhofstraße, 24a, 25899, Niebüll",2022,"01","054","088","2","2",NA,NA,54.787484,8.8329455
"Klinikum Nordfriesland gGmbH- Klinik Husum und Klinik Niebüll, Klinikum Nordfriesland gGmbH - Klinik Niebüll","Gather Landstraße, 75, 25899, Niebüll",2022,"01","054","088","1","2",NA,NA,54.7930609,8.84367546156678
"Klinikum Nordfriesland gGmbH- Inselklinik Föhr-Amrum, Klinikum Nordfriesland gGmbH - Inselklinik Föhr-Amrum","Rebbelstieg, 24, 25938, Wyk auf Föhr",2022,"01","054","164","1","2",NA,NA,54.6853714,8.56429667729401
"Asklepios Nordseeklinik Westerland GmbH, Asklepios Nordseeklinik Westerland GmbH","Norderstraße, 81, 25980, Westerland",2022,"01","054","168","3","2",NA,NA,54.92546875,8.31328515406595
"Helios Agnes Karll Krankenhaus, Helios Agnes Karll Krankenhaus","Am Hochkamp, 21, 23611, Bad Schwartau",2022,"01","055","004","3","2",NA,NA,53.9224163,10.6938415312307
"Ostsee-Klinik- Bad Schwartau, Ostsee-Klinik- Bad Schwartau","Anton-Baumann-Straße, 1, 23611, Bad Schwartau",2022,"01","055","004","3","4",NA,NA,53.91541885,10.6977644480876
"AMEOS Klinika Neustadt, Lübeck und Eutin, AMEOS Klinikum Eutin","Janusstraße, 5, 23701, Eutin",2022,"01","055","012","3","2",NA,NA,54.1352005,10.6069695
"AMEOS Krankenhausgesellschaft Ostholstein mbH, AMEOS Klinikum Eutin","Hospitalstraße, 22, 23701, Eutin",2022,"01","055","012","3","2",NA,NA,54.1326685,10.6022612
"Sankt Elisabeth Krankenhaus Eutin GmbH, Sankt Elisabeth Krankenhaus Eutin GmbH","Plöner Straße, 42, 23701, Eutin",2022,"01","055","012","2","2",NA,NA,54.1378212,10.6114716
"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik, Tagesklinik am Kleinen See","Hospitalstraße, 22, 23701, Eutin",2022,"01","055","012","2","2",NA,NA,54.1326685,10.6022612
"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz, AMEOS Klinikum Heiligenhafen","Friedrich-Ebert-Straße, 100, 23774, Heiligenhafen",2022,"01","055","021","3","2",NA,NA,54.3744364,10.9583151744126
"August-Bier-Klinik, August-Bier-Klinik","Diekseepromenade, 7-11, 23714, Bad Malente-Gremsmühlen",2022,"01","055","028","2","3",NA,NA,54.1640738,10.5478425
"Curtius Klinik GmbH & Co. KG Fachklinik für Psychosomatik und Psychotherapeutische Medizin, Curtius Klinik GmbH & Co. KG","Neue Kampstraße, 2, 23714, Bad Malente-Gremsmühlen",2022,"01","055","028","3","2",NA,NA,54.17188075,10.5661184831268
"AMEOS Klinika Neustadt, Lübeck und Eutin, AMEOS Klinikum Neustadt","Wiesenhof, NA, 23730, Neustadt in Holstein",2022,"01","055","032","3","2",NA,NA,54.1042906,10.7945201
"Kinderzentrum Pelzerhaken gGmbH, Kinderzentrum Pelzerhaken gGmbH","Zum Leuchtturm, 4, 23730, Neustadt in Holstein",2022,"01","055","032","2","2",NA,NA,54.088556,10.8630895676541
"Schön Klinik Neustadt, Schön Klinik Neustadt","Am Kiebitzberg, 10, 23730, Neustadt in Holstein",2022,"01","055","032","3","2",NA,NA,54.0908337,10.8287757385621
"Schön Klinik Neustadt Privatpatientenklinik, Schön Klinik Neustadt Privatpatientenklinik","Am Kiebitzberg, 10, 23730, Neustadt",2022,"01","055","032","3","4",NA,NA,54.0908337,10.8287757385621
"Tagesklinik Ostholstein gGmbH, Tagesklinik Ostholstein gGmbH","Rettiner Weg, 30, 23730, Neustadt in Holstein",2022,"01","055","032","3","2",NA,NA,54.10524815,10.8232412741643
"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz, AMEOS Klinikum Oldenburg (Psychiatrie)","Hoheluftstraße, 10, 23758, Oldenburg in Holstein",2022,"01","055","033","3","2",NA,NA,54.2922513,10.8807176026316
"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz, AMEOS Klinikum Oldenburg (Neurologie)","Mühlenkamp, 5, 23758, Oldenburg in Holstein",2022,"01","055","033","3","2",NA,NA,54.29005115,10.8799957381353
"AMEOS Krankenhausgesellschaft Ostholstein mbH, AMEOS Klinikum Oldenburg","Mühlenkamp, 5, 23758, Oldenburg in Holstein",2022,"01","055","033","3","2",NA,NA,54.29005115,10.8799957381353
"AMEOS Krankenhausgesellschaft Ostholstein mbH, AMEOS Klinikum Middelburg","Middelburger Straße, 1, 23701, Süsel",2022,"01","055","041","3","2",NA,NA,54.0818987,10.6837497776154
"AMEOS Krankenhausgesellschaft Ostholstein mbH, Inselklinik Fehmarn","Mummendorfer Weg, 12, 23769, Fehmarn",2022,"01","055","046","3","2",NA,NA,54.4428266,11.1774254016498
"Fachklinik Bokholt, Fachklinik Bokholt","Hanredder, 30-32, 25335, Bokholt-Hanredder",2022,"01","056","008","2","2",NA,NA,53.7911825,9.7283298
"Regio Kliniken GmbH, Regio Klinikum Elmshorn","Agnes-Karll-Allee, 17, 25337, Elmshorn",2022,"01","056","015","3","2",NA,NA,53.75249345,9.68169776709125
"Regio Kliniken GmbH, Regio PIA KJP Elmshorn (Marktstraße)","Marktstraße, 10, 25335, Elmshorn",2022,"01","056","015","3","2",NA,NA,53.75342235,9.65114588211511
"Paracelsus-Nordseeklinik Helgoland, Paracelsus-Nordsee-Klinik Helgoland","Invasorenpfad, NA, 27498, Helgoland",2022,"01","056","025","3","2",NA,NA,54.1788074,7.8870919
"Regio Kliniken GmbH, Regio Klinikum Pinneberg","Fahltskamp, 74, 25421, Pinneberg",2022,"01","056","039","3","2",NA,NA,53.6544627,9.81132182695904
"Regio Kliniken GmbH, Regio Tagesklinik Pinneberg","Fahltskamp, 70, 25421, Pinneberg",2022,"01","056","039","3","2",NA,NA,53.6555722,9.81084405
"Fachklinik Freudenholm-Ruhleben, Fachklinik Freudenholm-Ruhleben","Missionsweg, 3, 24306, Plön",2022,"01","057","009","2","2",NA,NA,54.1372198,10.4457013809603
"Psychiatrische Tagesklinik Plön, Psychiatrische Tagesklinik Plön","Rodomstorstraße, 30, 24306, Plön",2022,"01","057","057","2","2",NA,NA,54.1636073,10.4184749
"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz, AMEOS Klinikum Preetz","Am Krankenhaus, 5a, 24211, Preetz",2022,"01","057","062","3","2",NA,NA,54.23862975,10.2765159406498
"Klinik Preetz, Klinik Preetz","Am Krankenhaus, 5, 24211, Preetz",2022,"01","057","062","1","2",NA,NA,54.2389114,10.2787865
"Psychiatrische Tagesklinik Preetz, Psychiatrische Tagesklinik Preetz","Wakendorfer Straße, 18, 24211, Preetz",2022,"01","057","062","2","2",NA,NA,54.2362381,10.2863615
"Fachklinik Freudenholm-Ruhleben, Psychiatrische Institutsambulanz Freudenholm-Ruhleben","Freudenholm, 3, 24211, Schellhorn bei Preetz",2022,"01","057","070","2","2","Freudenholm, 24211, Schellhorn",NA,54.2168408,10.3127284
"Privatklinik Blomenburg, Privatklinik Blomenburg","Burgstraße, 1, 24238, Selent",2022,"01","057","077","3","4",NA,NA,54.28493425,10.4319088058647
"Norddeutsches Epilepsiezentrum für Kinder und Jugendliche, Norddeutsches Epilepsiezentrum für Kinder und Jugendliche","Henry-Dunant-Straße, 6-10, 24223, Schwentinental",2022,"01","057","091","2","2",NA,NA,54.28719735,10.2107560650856
"Fachklinik Aukrug, Fachklinik Aukrug","Tönsheide, NA, 24613, Aukrug",2022,"01","058","009","1","3",NA,NA,54.0595344,9.7664919
"VAMED Ostseeklinik Damp, VAMED Ostseeklinik Damp","Seute-Deern-Ring, 20, 24351, Damp",2022,"01","058","040","3","2",NA,NA,54.5853915,10.0216914
"imland gGmbH, imland Klinik Eckernförde","Schleswiger Straße, 114, 24340, Eckernförde",2022,"01","058","043","1","2",NA,NA,54.4823114,9.8182677
"Mare Klinikum GmbH & Co. KG, Mare Klinikum GmbH & Co. KG","Eckernförder Straße, 219, 24119, Kronshagen",2022,"01","058","092","3","4",NA,NA,54.3387665,10.1041368
"Praxisklinik Kronshagen, Praxisklinik Kronshagen","Eichkoppelweg, 74, 24119, Kronshagen",2022,"01","058","092","3","2",NA,NA,54.3375374,10.097904
"Augenklinik Rendsburg GmbH, Augenklinik Rendsburg GmbH","Jungfernstieg, 25, 24768, Rendsburg",2022,"01","058","135","3","2",NA,NA,54.3005913,9.6659579
"Helios Fachklinik Schleswig GmbH, Tagesklinik Kinder- und Jugendpsychiatrie Rendsburg","Oberreiderstraße, 28, 24768, Rendsburg",2022,"01","058","135","3","2","Oberreiderstraße, 24768, Rendsburg","54.3007378301664, 9.667209332011566",54.3007378301664,9.66720933201157
"imland gGmbH, imland Klinik Rendsburg","Lilienstraße, 20, 24768, Rendsburg",2022,"01","058","135","1","2",NA,NA,54.2972385,9.6578832629107
"Margarethen-Klinik Kappeln, Margarethen-Klinik Kappeln","Konsul-Lorentzen-Straße, 3, 24376, Kappeln",2022,"01","059","045","3","2",NA,NA,54.6587119,9.9244447
"Psychiatrisches Zentrum Kropp, Fachkrankenhaus für Psychiatrie u. Psychotherapie","Johannesallee, 9, 24848, Kropp",2022,"01","059","053","2","2",NA,NA,54.40996325,9.51548682760937
"Helios Fachklinik Schleswig GmbH, Klinik für Psychiatrie und Psychosomatische Medizin","St.-Jürgener-Straße, 5a, 24837, Schleswig",2022,"01","059","075","3","2",NA,NA,54.5304567,9.5736511
"Helios Fachklinik Schleswig GmbH, Tagesklinik Psychiatrie","Mühlental, 1, 24837, Schleswig",2022,"01","059","075","3","2",NA,NA,54.70739005,9.52792975054036
"Helios Fachklinik Schleswig GmbH, Klinik für Kinder- und Jugendpsychiatrie","Friedrich-Ebert-Straße, 5, 24837, Schleswig",2022,"01","059","075","3","2",NA,NA,54.52043745,9.54672740661783
"Helios Klinik Schleswig GmbH, Helios Klinik Schleswig GmbH","St.-Jürgener-Straße, 1-3, 24837, Schleswig",2022,"01","059","075","3","2",NA,NA,54.52509015,9.56582826617449
"Malteser Krankenhaus St. Franziskus-Hospital, Tagesklinik Geriatrie Schleswig","Am Damm, 1, 24837, Schleswig",2022,"01","059","075","2","2",NA,NA,54.52436275,9.56449471472268
"Klinikum Bad Bramstedt, Klinikum Bad Bramstedt","Oskar-Alexander-Straße, 26, 24576, Bad Bramstedt",2022,"01","060","004","1","2",NA,NA,53.903627,9.8932571
"Schön Klinik Bad Bramstedt, Schön Klinik Bad Bramstedt","Birkenweg, 10, 24576, Bad Bramstedt",2022,"01","060","004","3","2",NA,NA,53.90416005,9.88824902590278
"Schön Klinik Bad Bramstedt Privatklinik, Schön Klinik Bad Bramstedt Privatklinik","Birkenweg, 10, 24576, Bad Bramstedt",2022,"01","060","004","3","4",NA,NA,53.90416005,9.88824902590278
"Psychiatrisches Krankenhaus Rickling, Psychiatrische Institutsambulanz Rickling in Bad Segeberg","Schillerstraße, 13a, 23795, Bad Segeberg",2022,"01","060","005","2","2",NA,NA,53.9432836,10.3042254
"Segeberger Kliniken GmbH, Segeberger Kliniken Bad Segeberg","Am Kurpark, 1, 23795, Bad Segeberg",2022,"01","060","005","3","2",NA,NA,53.94350245,10.3081237463148
"Tagesklinik für Psychiatrie und Psychotherapie Bad Segeberg, Tagesklinik für Psychiatrie und Psychotherapie Bad Segeberg","Schillerstraße, 13a, 23795, Bad Segeberg",2022,"01","060","005","2","2",NA,NA,53.9432836,10.3042254
"Paracelsus Klinik Henstedt-Ulzburg, Paracelsus Klinik Henstedt-Ulzburg","Wilstedter Straße, 134, 24558, Henstedt-Ulzburg",2022,"01","060","039","3","2",NA,NA,53.7488114,10.0063370057609
"Psychiatrisches Krankenhaus Rickling, Psychiatrische Institutsambulanz Rickling in Kaltenkirchen","Flottkamp, 15a, 24568, Kaltenkirchen",2022,"01","060","044","2","2",NA,NA,53.83182575,9.9606450484117
"Tagesklinik für Psychiatrie und Psychotherapie Kaltenkirchen, Tagesklinik für Psychiatrie und Psychotherapie Kaltenkirchen","Am Flottkamp, 15a, 24568, Kaltenkirchen",2022,"01","060","044","2","2","Am Flottkamp, 24568, Kaltenkirchen",NA,53.8317878,9.9506921
"Psychiatrisches Krankenhaus Rickling, Psychiatrische Institutsambulanz Rickling in Norderstedt","Beim Umspannwerk, 6, 22844, Norderstedt",2022,"01","060","063","2","2",NA,NA,53.7363389,9.9886525910018
"Regio Kliniken GmbH, Regio Tagesklinik KJP Norderstedt","Beim Umspannwerk, 6, 22844, Norderstedt",2022,"01","060","063","3","2",NA,NA,53.7363389,9.9886525910018
"Segeberger Kliniken GmbH, Segeberger Kliniken Norderstedt","Heidbergstraße, 98, 22846, Norderstedt",2022,"01","060","063","3","2",NA,NA,53.70453445,9.99448834612227
"Tagesklinik für Psychiatrie und Psychotherapie Norderstedt, Tagesklinik für Psychiatrie und Psychotherapie Norderstedt","Beim Umspannwerk, 6, 22844, Norderstedt",2022,"01","060","063","2","2",NA,NA,53.7363389,9.9886525910018
"Psychiatrisches Krankenhaus Rickling, Psychiatrisches Krankenhaus Rickling","Daldorfer Straße, 2, 24635, Rickling",2022,"01","060","068","2","2",NA,NA,53.9982189,10.1788062
"Klinikum Itzehoe, Klinikum Itzehoe - Glückstadt","Am Wall, 1a, 25348, Glückstadt",2022,"01","061","029","1","2",NA,NA,53.7890491,9.4267711
