Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
AMEOS Klinikum Lübeck,2021-11-11,260100659,772934000,02,89,824,105,2462,NA,2020
AMEOS Klinikum Eutin,2021-11-11,260100659,772935000,03,24,168,164,1663,NA,2020
AMEOS Klinikum Heiligenhafen,2021-11-11,260100660,772926000,01,214,1802,121,4389,NA,2020
AMEOS Klinikum Kiel,2021-11-11,260100660,772927000,02,27,680,75,1398,NA,2020
AMEOS Klinikum Preetz,2021-11-11,260100660,772928000,03,71,812,115,1889,NA,2020
AMEOS Klinikum Oldenburg,2021-11-11,260100660,772929000,04,17,78,116,1444,NA,2020
AMEOS Klinikum Oldenburg,2021-11-11,260100660,773086000,05,21,1078,0,448,NA,2020
Sankt Elisabeth Krankenhaus Eutin,2021-10-29,260100682,771399000,00,114,1716,88,0,NA,2020
HELIOS Agnes-Karll Krankenhaus Bad Schwartau [BSC] [BSC],2021-11-01,260100693,771825000,00,75,4085,0,0,NA,2020
AUGUST-BIER-KLINIK - Neurologie und Rehabilitation,2021-12-02,260100706,772843000,00,51,608,0,0,NA,2020
Regio Kliniken GmbH - Klinikum Pinneberg,2021-11-05,260100739,772624000,01,304,15513,0,29550,NA,2020
Regio Kliniken GmbH - Klinikum Elmshorn,2021-11-05,260100739,772625000,02,563,11782,438,17821,NA,2020
Regio Kliniken GmbH - Tagesklinik Norderstedt,2021-11-05,260100739,772626000,04,17,0,77,453,NA,2020
Regio Kliniken GmbH - Tagesklinik Psychiatrie Pinneberg,2021-11-05,260100739,772628000,05,23,0,81,1655,NA,2020
Klinik Preetz,2021-11-08,260100820,771667000,00,172,9045,0,6819,NA,2020
Fachklinik Freudenholm-Ruhleben / Klinische Abteilung,2021-11-04,260100831,773328000,00,50,1036,0,236,NA,2020
imland Klinik Rendsburg,2021-12-13,260100875,773201000,02,582,21166,373,33808,NA,2020
imland GmbH - imland Klinik Eckernförde,2021-12-13,260100875,773202000,01,216,6092,124,14814,NA,2020
HELIOS Klinik Schleswig GmbH,2021-11-01,260100911,773094000,00,307,13965,36,23745,NA,2020
"HELIOS Fachklinik, Klinik für Erwachsenenpsychiatrie und Psychosomatische Medizin",2021-11-01,260100922,773143000,01,157,1764,11,5477,NA,2020
HELIOS Tagesklinik Psychiatrie (Erwachsene),2021-11-01,260100922,773144000,02,20,0,140,0,NA,2020
HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie,2021-11-01,260100922,773145000,03,128,1009,4,5478,NA,2020
"HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie, Tagesklinik Baumhaus Husum",2021-11-01,260100922,773146000,04,12,0,0,0,NA,2020
SCHLEI-Klinikum Schleswig FKSL GmbH,2021-11-01,260100922,773147000,05,12,0,45,0,NA,2020
SCHLEI-Klinikum Schleswig FKSL GmbH,2021-11-02,260100922,773767000,99,10,0,4,5478,NA,2020
Fachkrankenhaus für Psychiatrie und Psychotherapie und Tagesklinik für Psychiatrie,2021-11-11,260101002,772517000,00,37,200,58,1036,NA,2020
Margarethen Klinik gGmbH Kappeln/Schlei,2021-12-15,260101024,773441000,99,17,577,0,0,NA,2020
Medizinische Klinik Borstel,2021-12-01,260101079,773390000,00,81,2315,280,5043,NA,2020
Psychiatrisches Krankenhaus Rickling,2021-11-04,260101091,773366000,01,350,3432,123,11745,NA,2020
Klinikum Bad Bramstedt GmbH,2021-11-11,260101104,771589000,00,146,4409,0,5284,NA,2020
SEGEBERGER KLINIKEN GMBH-Standort Bad Segeberg,2022-02-23,260101126,771942000,03,523,18331,149,16129,NA,2020
SEGEBERGER KLINIKEN GMBH-Standort Praxisklinik Norderstedt,2022-02-23,260101126,771943000,02,13,965,0,77,NA,2020
Klinikum Itzehoe,2021-11-11,260101137,772665000,NA,601,26799,2117,38955,NA,2020
Tagesklinik für Psychiatrie und Psychotherapie  Glückstadt,2021-11-10,260101137,772666000,NA,14,0,50,0,NA,2020
Krankenhaus Reinbek St. Adolf-Stift GmbH,2021-11-15,260101193,772660000,00,351,17232,0,13012,NA,2020
DRK-Norddeutsches Epilepsiezentrum für Kinder und Jugendliche,2021-11-10,260101320,772449000,00,12,435,0,125,NA,2020
"Vamed Ostseeklinik Damp
",2021-11-01,260101331,772329000,00,134,5121,264,6269,NA,2020
Kinderzentrum Pelzerhaken,2021-10-28,260101386,772545000,NA,36,350,0,2536,NA,2020
Paracelsus-Nordseeklinik Helgoland,2021-10-28,260101444,772807000,00,24,271,0,1446,NA,2020
FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH,2021-11-09,260101488,772073000,00,645,22756,500,55861,NA,2020
Vorwerker Fachklinik (Tagesklinik Eutin),2021-11-04,260101547,772535000,04,15,0,73,2543,NA,2020
Vorwerker Fachklinik (Tagesklinik Büchen),2021-11-04,260101547,772536000,03,12,0,58,2141,NA,2020
Vorwerker Fachklinik Kinder- und Jugendpsychiatrie (stat. Bereich Lübeck),2021-11-04,260101547,772538000,01,47,442,39,1835,NA,2020
Schön Klinik Neustadt,2021-11-11,260101809,771982000,00,327,15428,0,27914,NA,2020
Westküstenklinikum Brunsbüttel,2021-12-03,260101865,771041000,02,117,3874,374,22514,NA,2020
Westküstenklinikum Heide,2021-12-09,260101865,771042000,01,630,21317,656,72196,NA,2020
Schmerzklinik Kiel,2021-11-15,260101923,773508000,00,82,1302,0,7215,NA,2020
Praxisklinik Kronshagen,2021-11-01,260101990,773038000,00,3,415,0,0,NA,2020
Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum- Haus an der Wakenitz,2021-11-12,260102014,771132000,00,164,611,206,154,NA,2020
Krankenhaus Rotes Kreuz Lübeck - Haus am Stadtpark,2021-11-12,260102014,771133000,00,164,1673,0,0,NA,2020
Krankenhaus Rotes Kreuz Lübeck - EGH II,2021-11-12,260102014,773779000,00,164,283,0,0,NA,2020
Asklepios Klinik Bad Oldesloe,2021-12-15,260102036,772748000,00,136,4574,51,6793,NA,2020
Schön Klinik Bad Bramstedt,2021-11-12,260102047,772481000,00,350,1849,0,0,NA,2020
Klinik für Geriatrie Ratzeburg GmbH,2021-10-28,260102058,772645000,00,69,939,110,0,NA,2020
Paracelsus-Klinik Henstedt-Ulzburg,2021-10-28,260102081,773582000,00,165,7715,0,13328,NA,2020
Curtius Klinik,2021-10-18,260102149,772115000,00,126,902,0,0,NA,2020
Klinik Manhagen,2021-12-09,260102150,773452000,00,124,12430,0,609,NA,2020
Johanniter Klinik für Geriatrie Geesthacht,2021-11-05,260102229,772870000,00,67,963,121,0,NA,2020
HELIOS Klinik Kiel,2021-11-01,260102230,772677000,00,60,2785,0,849,NA,2020
"VAMED Klinik Geesthacht: Akutbereich, enthalten sind nur die Daten der Patientinnen/Patienten der besonderen Einrichtung, ohne Patientinnen/Patienten aus dem Reha-Bereich",2021-11-01,260102252,773466000,00,70,565,0,0,NA,2020
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, UKSH Kooperation am WKK Heide",2021-12-15,260102343,773087000,03,1,67,0,0,NA,2020
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Lübeck",2021-12-15,260102343,773447000,02,1104,49035,1528,122596,NA,2020
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Kiel",2021-12-15,260102343,773448000,01,1178,47665,3934,133695,NA,2020
Zentrum für Integrative Psychiatrie - ZIP gGmbH,2021-12-15,260102376,773239000,01,256,1764,331,19480,NA,2020
Zentrum für Integrative Psychiatrie - ZIP gGmbH,2021-12-14,260102376,773240000,03,26,0,146,0,NA,2020
Ameos Klinika Lübeck,2021-11-11,260102412,772925000,00,26,625,0,544,NA,2020
"Sana Kliniken Lübeck GmbH, Praxisklinik Travemünde",2021-11-12,260102423,772497000,02,27,1146,0,90,NA,2020
"Sana Kliniken Lübeck GmbH, Krankenhaus Süd",2021-11-12,260102423,772498000,01,400,16460,2,21139,NA,2020
Städtisches Krankenhaus Kiel GmbH,2021-11-08,260102434,772314000,00,605,22771,146,45635,NA,2020
Augenklinik Rendsburg GmbH,2021-11-11,260102467,771256000,NA,22,1571,0,1,NA,2020
Zentrum für Integrative Psychiatrie ZIP gGmbH,2021-12-14,260102537,773241000,02,170,1540,268,11161,NA,2020
Psychiatrische Tagesklinik Neumünster gGmbH,2021-11-12,260102582,772649000,00,35,0,253,1873,NA,2020
Psychiatrisches Krankenhaus Rickling (TK Norderstedt),2021-11-04,260102662,773350000,04,52,0,359,0,NA,2020
Klinik Klosterstraße GmbH,2021-11-09,260102673,773716000,00,3,332,0,0,NA,2020
nordBLICK Augenklinik Bellevue GmbH,2021-11-15,260102695,773670000,NA,30,1797,7557,0,NA,2020
Universitätsklinikum Hamburg-Eppendorf,2021-11-09,260200013,773675000,00,1502,58090,6263,401476,NA,2020
Asklepios Klinik St. Georg,2021-11-11,260200024,772681000,00,691,21896,2006,43084,NA,2020
Asklepios Klinik Barmbek,2021-11-12,260200035,772584000,00,640,30433,25,79180,NA,2020
Schön Klinik Hamburg Eilbek,2021-12-15,260200046,772530000,00,743,17048,359,46875,NA,2020
Asklepios Klinik Altona,2021-12-16,260200068,773229000,00,629,30258,0,41642,NA,2020
Asklepios Klinikum Harburg - Tagesklinik Wilhelmsburg,2021-11-15,260200079,771731000,02,0,0,97,1548,NA,2020
Asklepios Klinikum Harburg - Neugraben,2021-11-15,260200079,771732000,03,0,0,27,1264,NA,2020
Asklepios Klinikum Harburg - Osdorf,2021-11-15,260200079,771733000,04,0,0,40,444,NA,2020
Asklepios Klinikum Harburg,2021-11-15,260200079,772901000,01,868,27912,1091,47892,NA,2020
Asklepios  Westklinikum Hamburg GmbH,2022-02-22,260200091,773544000,01,517,10601,0,13511,NA,2020
Asklepios Westklinikum Hamburg - Tagesklinik Altona,2021-11-15,260200091,773545000,03,30,0,277,0,NA,2020
Asklepios Westklinikum Hamburg - ZSG Osdorf,2021-11-15,260200091,773546000,04,6,0,73,0,NA,2020
Asklepios Westklinikum Hamburg - Psychosomatische Tagesklinik Ulmenhof,2021-11-15,260200091,773572000,02,27,0,339,0,NA,2020
Asklepios Klinik Wandsbek,2021-10-29,260200104,772924000,00,553,16932,98,33187,NA,2020
Albertinen-Krankenhaus / Albertinen-Haus gemeinnützige GmbH,2021-12-13,260200171,773271000,99,732,30437,304,42534,NA,2020
"AKK Altonaer Kinderkrankenhaus, Neugeborenen Intensiv am Alberinen KH",2021-11-18,260200193,773692000,NA,8,219,0,0,NA,2020
AKK Altonaer Kinderkrankenhaus gGmbH,2021-12-14,260200193,770000000,00,234,19810,3033,28674,NA,2020
Ev. Amalie Sieveking - Krankenhaus,2021-12-15,260200206,772845000,00,318,14014,107,0,NA,2020
BG Klinikum Hamburg gGmbH,2021-10-13,260200217,771495000,00,733,9936,0,24723,NA,2020
Evangelisches Krankenhaus Alsterdorf gemeinnützige GmbH,2021-11-18,260200240,771793000,00,334,5136,364,6618,NA,2020
Heinrich Sengelmann Tagesklinik Uhlenhosrt,2021-11-11,510204927,771794000,05,0,0,181,95,NA,2020
Heinrich Sengelmann Tagesklinik Ahrensburg,2021-11-11,260200273,772762000,02,0,0,143,1962,NA,2020
Heinrich Sengelmann Tagesklinik Bargteheide,2021-11-11,260200273,772763000,04,0,0,155,1214,NA,2020
Heinrich Sengelmann Tagesklinik Reinbek,2021-11-11,260200273,772764000,03,0,0,181,881,NA,2020
Heinrich Sengelmann Krankenhaus,2021-11-11,260200273,772868000,01,229,2381,0,2054,NA,2020
Israelitisches Krankenhaus in Hamburg,2021-11-15,260200284,773032000,00,147,7830,0,3791,NA,2020
Katholisches Kinderkrankenhaus Wilhelmstift gGmbH,2021-11-12,260200319,771668000,NA,210,7657,1806,33243,NA,2020
TAGESKLINIK F. KINDER- U. JUGENDPSYCHIATRIE NORD,2021-11-12,260200319,771669000,NA,8,0,40,0,NA,2020
Neonatologische Intensivstation (MK),2021-11-12,260200319,771670000,NA,19,353,0,0,NA,2020
Neonatologische Station am AK Wandsbek,2021-11-12,260200319,771671000,NA,4,150,0,0,NA,2020
Epilepsie Monitoring Neuropädiatrie Alsterdorf,2021-11-12,260200319,771672000,NA,3,146,0,0,NA,2020
Helios ENDO-Klinik Hamburg,2021-11-01,260200320,771358000,00,204,7783,0,0,NA,2020
Krankenhaus Jerusalem,2021-11-02,260200375,772063000,00,20,2195,0,0,NA,2020
HELIOS Mariahilf Klinik Hamburg,2021-11-01,260200386,773111000,00,176,9841,0,21686,NA,2020
Kath. Marienkrankenhaus gGmbH,2021-10-18,260200400,772533000,00,586,26548,97,79474,NA,2020
Wilhelmsburger Krankenhaus Groß-Sand,2021-11-10,260200422,771677000,00,209,4905,111,10033,NA,2020
KLINIK DR. GUTH der Klinikgruppe Dr. Guth GmbH & Co. KG,2021-10-29,260200547,771447000,00,100,2166,0,1082,NA,2020
Krankenhaus Tabea,2021-10-19,260200570,772380000,00,130,8192,368,22051,NA,2020
PRAXISKLINIK MÜMMELMANNSBERG der Klinikgruppe Dr. Guth GmbH & Co. KG,2021-10-26,260200581,771444000,00,30,0,202,0,NA,2020
Asklepios Klinik Nord - Ochsenzoll,2021-11-12,260200865,773413000,02,628,6131,696,17361,NA,2020
Asklepios Klinik Nord - Wandsbek,2021-11-15,260200865,773414000,03,150,1851,165,2613,NA,2020
Asklepios Klinik Nord - TK Volksd.,2021-11-12,260200865,773415000,04,30,0,209,1894,NA,2020
Asklepios Klinik Nord - TK Horn,2021-11-15,260200865,773462000,06,25,0,171,1451,NA,2020
Asklepios Klinik Nord - Heidberg,2021-12-15,260200865,773463000,01,795,28069,713,50698,NA,2020
Asklepios Klinik Nord - TK Steilshoop,2021-11-12,260200865,773464000,05,25,0,162,1501,NA,2020
Asklepios Klinik Nord - Tagesklinik Walddörfer,2021-11-03,260200865,773754000,NA,10,0,6,0,NA,2020
Asklepios Klinik Nord - TK Alstertor,2021-11-02,260200865,773771000,07,24,0,167,0,NA,2020
Praxis-Klinik Bergedorf,2021-11-02,260200898,771913000,00,18,1478,0,0,NA,2020
AGAPLESION BETHESDA KRANKENHAUS BERGEDORF GgmbH,2021-11-04,260200901,772680000,00,344,13546,275,19135,NA,2020
Universitäres Herz- und Gefäßzentrum UKE Hamburg GmbH,2021-11-08,260200990,773677000,00,270,8624,0,9423,NA,2020
Facharztklinik Hamburg,2021-11-09,260201036,772159000,00,90,4495,0,0,NA,2020
AGAPLESION DIAKONIEKLINIKUM HAMBURG,2021-10-20,260201194,772836000,00,388,16507,96,26293,NA,2020
Bundeswehrkrankenhaus Hamburg,2021-11-11,260201229,771803000,00,307,8910,0,66739,NA,2020
ATOS Klinik Fleetinsel GmbH &amp; Co. KG,2021-11-11,260201296,773453000,00,54,2972,0,0,NA,2020
SKH Stadtteilklinik Hamburg GmbH,2021-11-12,260201309,773426000,00,15,621,0,0,NA,2020
Psychosomatische Tagesklinik Falkenried,2021-11-10,260201321,773568000,00,24,0,252,0,NA,2020
Deister Süntel Klinik,2021-11-05,260300069,772689000,00,58,1699,0,102,NA,2020
Klinikum Hann. Münden,2021-10-26,260300070,773011000,00,158,7577,82,6688,NA,2020
Klinik für Psychosomatische Medizin und Psychotherapie,2021-11-05,260300105,771616000,00,30,185,0,0,NA,2020
AGAPLESION EV. KLINIKUM SCHAUMBURG ,2021-11-15,260300229,771343000,00,437,17483,0,23212,NA,2020
Delme-Klinikum Delmenhorst GmbH,2021-11-15,260300332,771245000,00,289,13981,0,30602,NA,2020
Helios Klinik Bad Gandersheim,2021-11-01,260310027,772892000,00,89,1627,0,2097,NA,2020
Asklepios Harzklinik Bad Harzburg,2021-11-04,260310038,773538000,00,66,2174,0,7194,NA,2020
Klinik Dr. Muschinsky,2021-10-29,260310107,772570000,00,32,709,0,0,NA,2020
Diabeteszentrum Bad Lauterberg,2021-10-22,260310130,773567000,00,62,1167,0,80,NA,2020
Städtisches Klinikum Braunschweig gGmbH,2021-11-11,260310209,772064000,99,208,10173,579,0,NA,2020
Städtisches Klinikum Braunschweig gGmbH,2021-11-11,260310209,772208000,99,375,13104,100,0,NA,2020
Städtisches Klinikum Braunschweig gGmbH,2021-11-11,260310209,772363000,00,916,29472,361,0,NA,2020
Krankenhaus Marienstift,2021-11-05,260310221,772897000,00,147,9113,0,8086,NA,2020
Stiftung Herzogin Elisabeth Hospital,2021-11-10,260310243,772795000,00,205,9985,0,25403,NA,2020
Kirchberg-Klinik Bad Lauterberg,2021-11-02,260310265,773576000,00,35,987,0,0,NA,2020
Asklepios Harzklinik Clausthal-Zellerfeld,2021-11-04,260310323,773539000,00,54,1,0,132,NA,2020
St. Martini GmbH Krankenhaus Duderstadt,2021-11-29,260310334,772917000,00,155,5923,0,14991,NA,2020
Einbecker BürgerSpital GmbH,2021-12-15,260310345,772688000,00,103,3679,0,6563,NA,2020
HELIOS Klinikum Gifhorn GmbH,2021-11-01,260310367,772608000,00,344,18460,0,16857,NA,2020
Universitätsmedizin Göttingen,2021-10-28,260310378,772918000,00,1563,47169,4588,222468,NA,2020
Asklepios Fachklinikum Göttingen - TK Seesen,2021-11-15,260310425,773428000,02,16,0,109,644,NA,2020
Asklepios Fachklinikum Göttingen,2021-11-15,260310425,773661000,01,428,4323,382,11017,NA,2020
Evangelisches Krankenhaus Göttingen-Weende gGmbH,2021-11-11,260310447,772683000,00,86,2673,0,0,NA,2020
Evangelisches Krankenhaus Göttingen-Weende gGmbH,2021-11-11,260310447,772684000,00,347,13637,0,0,NA,2020
Asklepios Harzklinik Goslar,2021-11-09,260310469,773543000,00,269,14024,0,17137,NA,2020
HELIOS St. Marienberg Klinik Helmstedt GmbH,2021-11-01,260310539,772882000,00,263,14750,0,10896,NA,2020
Tagesklinik Wolfsburg Erwachsene und KJP,2021-10-19,260310562,772316000,NA,36,0,230,2264,NA,2020
Tagesklinik Wolfenbüttel,2021-10-19,260310562,772317000,NA,16,0,104,518,NA,2020
Tagesklinik Peine,2021-10-19,260310562,772318000,NA,16,0,121,1112,NA,2020
Tagesklinik Helmstedt,2021-10-19,260310562,772319000,NA,16,0,112,0,NA,2020
Tagesklinik Gifhorn,2021-10-19,260310562,772566000,NA,16,0,138,1233,NA,2020
Tagesklinik Braunschweig KJP,2021-10-19,260310562,772567000,NA,14,0,89,244,NA,2020
AWO Psychiatriezentrum,2021-10-19,260310562,773394000,NA,705,6222,0,5208,NA,2020
"DR. FONTHEIM Mentale Gesundheit, Klinik für Psychiatrie, Psychotherapie und Psychosomatik",2021-11-15,260310573,771488000,NA,285,2630,18,13705,NA,2020
Tagesklinik der DR. FONTHEIM Mentale Gesundheit in Goslar,2021-11-15,260310573,771489000,NA,20,0,114,0,NA,2020
Tagesklinik der DR. FONTHEIM Mentale Gesundheit in Salzgitter-Bad,2021-11-15,260310573,771490000,NA,20,0,129,0,NA,2020
Tagesklinik der DR. FONTHEIM Mentale Gesundheit in Salzgitter-Thiede,2021-11-15,260310573,771491000,NA,20,0,117,0,NA,2020
HELIOS Albert-Schweitzer-Klinik Northeim [NOM],2021-11-01,260310595,772891000,00,210,9206,0,11585,NA,2020
Helios Klinik Herzberg/Osterode,2021-11-01,260310619,771053000,00,214,9774,0,17163,NA,2020
Klinikum Peine gGmbH,2021-12-14,260310642,772724000,00,275,8666,0,10497,NA,2020
Asklepios Fachklinikum Tiefenbrunn,2021-12-14,260310653,773392000,00,182,935,0,1351,NA,2020
St. Elisabeth-Krankenhaus Salzgitter,2021-11-10,260310664,773694000,00,108,6385,0,5993,NA,2020
Helios Klinikum Salzgitter GmbH,2021-11-01,260310686,772993000,00,296,14277,0,23659,NA,2020
Helios Klinik Wittingen GmbH,2021-11-01,260310733,771218000,00,35,1770,0,4081,NA,2020
Städtisches Klinikum Wolfenbüttel gGmbH,2021-11-12,260310744,771528000,00,283,13934,0,14813,NA,2020
Klinikum Wolfsburg,2021-11-10,260310766,771722000,00,547,27675,0,51758,NA,2020
Venenzentrum Braunschweig - Zuckerbergweg,2021-11-12,260310959,773727000,00,16,1824,0,846,NA,2020
Venenzentrum Braunschweig - Kastanienallee,2021-11-12,260310959,773728000,00,5,1017,0,846,NA,2020
Asklepios Kliniken Schildautal,2021-11-15,260311006,772540000,00,334,6846,0,7101,NA,2020
Evangelisches Krankenhaus Göttingen-Weende gGmbH - Krankenhaus Neu-Mariahilf,2021-11-11,260311051,772685000,00,104,4918,0,0,NA,2020
Augenklinik Dr. Hoffmann,2021-12-14,260311197,772632000,00,19,2321,1329,0,NA,2020
AGAPLESION KRANKENHAUS NEU BETHLEHEM gGmbH,2021-11-04,260311302,772116000,00,100,8701,0,634,NA,2020
AMEOS Klinikum Alfeld,2021-11-11,260320018,772520000,00,125,4163,0,7027,NA,2020
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum Psychiatrische Tagesklinik und psychiatrische Institutionsambulanz Standort Twistringen",2021-11-09,260320212,773071000,NA,14,0,93,0,NA,2020
"Klinik Bassum, Psychiatrische Tagesklinik Standort Diepholz",2021-11-09,260320212,773072000,NA,14,0,53,0,NA,2020
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum und Zentrum für seelische Gesundheit",2021-11-09,260320212,773073000,NA,250,4174,0,28118,NA,2020
Krankenhaus Lindenbrunn,2021-11-15,260320267,771622000,00,106,1454,0,0,NA,2020
"Kliniken Landkreis Diepholz gGmbH, Klinik Diepholz",2021-11-09,260320289,772869000,00,116,5577,0,10032,NA,2020
Johanniter-Krankenhaus Gronau GmbH,2021-11-10,260320303,771264000,00,111,4771,0,8281,NA,2020
Gesundheitseinrichtungen Hameln-Pyrmont GmbH - Sana Klinikum Hameln-Pyrmont,2021-11-10,260320336,771624000,00,402,18456,0,38090,NA,2020
Sophienklinik GmbH,2021-11-12,260320450,772573000,00,117,7176,0,0,NA,2020
DRK-Krankenhaus Clementinenhaus,2021-11-15,260320494,771605000,00,195,9597,0,8546,NA,2020
"Kinder- und Jugendkrankenhaus AUF DER BULT, Tagesklinik und Ambulanz Celle",2021-11-10,260320508,772824000,02,12,0,61,82,NA,2020
Kinder- und Jugendkrankenhaus AUF DER BULT,2022-02-28,260320508,772825000,01,251,8798,2146,36119,NA,2020
"Kinder- und Jugendkrankenhaus AUF DER BULT, Perinatalzentrum Hannover",2022-02-28,260320508,773747000,NA,9,120,0,0,NA,2020
DIAKOVERE Henriettenstift ,2021-11-15,260320520,773197000,00,307,11815,0,17971,NA,2020
DIAKOVERE Henriettenstift,2021-11-15,260320520,773198000,00,198,7889,69,7751,NA,2020
DIAKOVERE Friederikenstift ,2021-11-15,260320531,773199000,00,428,21190,0,31854,NA,2020
KRH Klinikum Nordstadt,2021-12-15,260320586,772915000,00,408,16744,0,37879,NA,2020
Medizinische Hochschule Hannover,2021-12-06,260320597,771519000,00,1520,55996,3005,448004,NA,2020
Vinzenzkrankenhaus Hannover,2021-11-11,260320600,771767000,00,345,18882,0,18655,NA,2020
BDH-Klinik Hessisch Oldendorf gGmbH,2021-11-12,260320611,773490000,00,113,1264,0,0,NA,2020
St. Bernward Krankenhaus,2021-11-05,260320622,772333000,00,508,22933,393,601,NA,2020
Helios Klinikum Hildesheim GmbH,2021-11-01,260320633,772733000,00,579,25430,0,71865,NA,2020
Tagesklinik Königstraße des KRH Psychiatrie Langenhagen,2021-12-07,260320688,772930000,00,50,0,176,3622,NA,2020
KRH Psychiatrie Langenhagen,2021-12-07,260320688,772931000,00,202,2029,0,7902,NA,2020
Paracelsus-Klinik am Silbersee,2021-10-04,260320699,771849000,00,90,4418,0,3528,NA,2020
Burghof-Klinik Haus 2,2021-11-08,260320757,771215000,00,32,187,0,0,NA,2020
Burghof-Klinik Haus 1,2021-11-08,260320757,771291000,00,107,468,187,0,NA,2020
Burghof-Klinik Haus 3 u . 4,2021-11-08,260320757,771292000,00,85,778,69,6279,NA,2020
Burghof-Klinik Tagesklinik Stadthagen,2021-11-08,260320757,771293000,00,18,0,125,3894,NA,2020
Klinikum Wahrendorff Ilten/Köthenwald,2021-11-05,260320780,771006000,00,330,2880,247,4832,NA,2020
Tagesklinik Borgentrickstraße,2021-11-05,260320780,771007000,NA,44,0,175,1841,NA,2020
Tagesklinik Lehrte,2021-11-05,260320780,771008000,NA,36,0,217,942,NA,2020
Tagesklinik Linden,2021-11-05,260320780,771009000,NA,45,0,192,1377,NA,2020
Tageskliniken Gartenstr./Welfenplatz,2021-11-05,260320780,771010000,NA,141,0,787,2318,NA,2020
